Dataset,Abordagem,LR,Precision,Epochs,Final_EQM,Train_Acc,Test_Acc
1,Amostra,0.01,0.001,5,0.2649,0.9643,0.95
1,Batch,0.01,0.001,100,0.5385,0.8286,0.8833
2,Amostra,0.01,0.001,7,0.9981,0.4571,0.28
2,Batch,0.01,0.001,100,1.2502,0.6743,0.7067
3,Amostra,0.01,0.1,3,0.3272,0.9388,0.873
3,Batch,0.01,0.1,12,4.2423,0.6054,0.6032
3,Amostra,0.01,0.0001,6,0.326,0.9388,0.8571
3,Batch,0.01,0.0001,100,0.8696,0.7891,0.7619
3,Amostra,0.001,0.1,9,0.6095,0.8231,0.7619
3,Batch,0.001,0.1,2,5.5904,0.5714,0.5714
3,Amostra,0.001,0.0001,37,0.3234,0.9388,0.8889
3,Batch,0.001,0.0001,100,4.4474,0.6054,0.6032
3,Amostra,0.0001,0.1,18,3.0928,0.6531,0.6349
3,Batch,0.0001,0.1,2,5.6144,0.5714,0.5714
3,Amostra,0.0001,0.0001,100,0.5431,0.8435,0.8095
3,Batch,0.0001,0.0001,100,5.4852,0.5714,0.5714
