model,optimizer,architecture,activation,regularization,test_loss,test_acc,test_f1,test_auc,final_train_loss,final_train_acc,final_val_loss,final_val_acc
Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-none,SGD,"[50, 64, 4]",ReLU,none,0.601,0.7667,0.7657,0.9447,0.3204,0.8958,0.6074,0.7708
Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-dropout,SGD,"[50, 64, 4]",ReLU,dropout,0.5646,0.8,0.7998,0.9489,0.3349,0.8867,0.5675,0.7917
Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-l2,SGD,"[50, 64, 4]",ReLU,l2,0.577,0.7875,0.7864,0.9474,0.3361,0.9076,0.564,0.8125
Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-none,SGD,"[50, 64, 4]",Tanh,none,0.5894,0.8208,0.8215,0.944,0.4189,0.8659,0.5752,0.7865
Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-dropout,SGD,"[50, 64, 4]",Tanh,dropout,0.5865,0.7958,0.7963,0.9443,0.4352,0.8424,0.5716,0.8073
Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-l2,SGD,"[50, 64, 4]",Tanh,l2,0.5911,0.8042,0.8038,0.9437,0.4221,0.8607,0.5787,0.7917
Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-none,SGD,"[50, 128, 64, 4]",ReLU,none,0.6076,0.7917,0.791,0.9466,0.2691,0.9232,0.5706,0.7917
Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-dropout,SGD,"[50, 128, 64, 4]",ReLU,dropout,0.5886,0.7917,0.7919,0.9455,0.3196,0.8841,0.5958,0.7865
Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-l2,SGD,"[50, 128, 64, 4]",ReLU,l2,0.6227,0.8125,0.8122,0.9435,0.2978,0.9089,0.6045,0.7917
Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-none,SGD,"[50, 128, 64, 4]",Tanh,none,0.5921,0.8083,0.8073,0.9445,0.4216,0.8529,0.5587,0.8021
Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-dropout,SGD,"[50, 128, 64, 4]",Tanh,dropout,0.5776,0.8167,0.8163,0.9467,0.4351,0.8542,0.5633,0.7969
Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-l2,SGD,"[50, 128, 64, 4]",Tanh,l2,0.5974,0.7917,0.7911,0.9428,0.4248,0.8568,0.5634,0.8021
Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-none,SGD,"[50, 256, 128, 64, 4]",ReLU,none,0.6209,0.8083,0.8073,0.9457,0.2382,0.931,0.5932,0.776
Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-dropout,SGD,"[50, 256, 128, 64, 4]",ReLU,dropout,0.6181,0.8083,0.8091,0.9466,0.2865,0.9076,0.5842,0.8229
Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-l2,SGD,"[50, 256, 128, 64, 4]",ReLU,l2,0.6052,0.825,0.8252,0.949,0.2488,0.9245,0.5872,0.7917
Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-none,SGD,"[50, 256, 128, 64, 4]",Tanh,none,0.5845,0.8208,0.8213,0.9444,0.4269,0.8555,0.5696,0.8021
Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-dropout,SGD,"[50, 256, 128, 64, 4]",Tanh,dropout,0.5891,0.8,0.8004,0.9443,0.4433,0.8516,0.5702,0.8125
Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-l2,SGD,"[50, 256, 128, 64, 4]",Tanh,l2,0.594,0.8,0.8,0.9437,0.4252,0.8542,0.5611,0.8021
Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-none,Adam,"[50, 64, 4]",ReLU,none,0.7233,0.7417,0.7396,0.9334,0.1168,0.9883,0.653,0.776
Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-dropout,Adam,"[50, 64, 4]",ReLU,dropout,0.7118,0.7833,0.7826,0.9359,0.1378,0.9727,0.6396,0.7812
Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-l2,Adam,"[50, 64, 4]",ReLU,l2,0.6693,0.7917,0.7904,0.9399,0.1143,0.9922,0.672,0.7604
Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-none,Adam,"[50, 64, 4]",Tanh,none,0.6467,0.7792,0.7778,0.9425,0.2823,0.9089,0.6116,0.7865
Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-dropout,Adam,"[50, 64, 4]",Tanh,dropout,0.6471,0.7833,0.7817,0.9408,0.3171,0.8945,0.612,0.7969
Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-l2,Adam,"[50, 64, 4]",Tanh,l2,0.6404,0.7792,0.7779,0.9406,0.3249,0.888,0.6222,0.7812
