dataset_num,model,optimizer,architecture,activation,regularization,test_loss,test_acc,test_f1,test_auc,final_train_loss,final_train_acc,final_val_loss,final_val_acc
2,Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-none,SGD,"[50, 64, 4]",ReLU,none,0.5859,0.7917,0.7904,0.9483,0.3087,0.9102,0.5549,0.7812
2,Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-dropout,SGD,"[50, 64, 4]",ReLU,dropout,0.5822,0.7958,0.7959,0.9476,0.3385,0.8893,0.5639,0.8073
2,Optimizer-SGD_Arch-1hidden_Act-ReLU_Reg-l2,SGD,"[50, 64, 4]",ReLU,l2,0.5826,0.7958,0.7958,0.9453,0.3247,0.8958,0.6052,0.8021
2,Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-none,SGD,"[50, 64, 4]",Tanh,none,0.6021,0.8083,0.8092,0.9422,0.421,0.8529,0.5809,0.7917
2,Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-dropout,SGD,"[50, 64, 4]",Tanh,dropout,0.5916,0.8083,0.809,0.9439,0.4227,0.8542,0.5684,0.8073
2,Optimizer-SGD_Arch-1hidden_Act-Tanh_Reg-l2,SGD,"[50, 64, 4]",Tanh,l2,0.5912,0.8042,0.804,0.9431,0.4204,0.8568,0.5778,0.7917
2,Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-none,SGD,"[50, 128, 64, 4]",ReLU,none,0.6052,0.7792,0.7796,0.9463,0.2668,0.9245,0.5539,0.7865
2,Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-dropout,SGD,"[50, 128, 64, 4]",ReLU,dropout,0.5903,0.7917,0.7919,0.9481,0.2956,0.9102,0.5852,0.7865
2,Optimizer-SGD_Arch-2hidden_Act-ReLU_Reg-l2,SGD,"[50, 128, 64, 4]",ReLU,l2,0.6045,0.7958,0.7953,0.9442,0.2872,0.9102,0.5709,0.7917
2,Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-none,SGD,"[50, 128, 64, 4]",Tanh,none,0.595,0.7917,0.7918,0.9436,0.4179,0.8594,0.5651,0.8073
2,Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-dropout,SGD,"[50, 128, 64, 4]",Tanh,dropout,0.5984,0.7958,0.7954,0.943,0.439,0.849,0.5691,0.7969
2,Optimizer-SGD_Arch-2hidden_Act-Tanh_Reg-l2,SGD,"[50, 128, 64, 4]",Tanh,l2,0.5837,0.8042,0.8046,0.9447,0.425,0.8542,0.5697,0.8073
2,Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-none,SGD,"[50, 256, 128, 64, 4]",ReLU,none,0.6297,0.8167,0.8167,0.9463,0.2328,0.9414,0.5688,0.8073
2,Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-dropout,SGD,"[50, 256, 128, 64, 4]",ReLU,dropout,0.6177,0.8,0.7993,0.9458,0.3138,0.8958,0.5819,0.7969
2,Optimizer-SGD_Arch-3hidden_Act-ReLU_Reg-l2,SGD,"[50, 256, 128, 64, 4]",ReLU,l2,0.6207,0.8125,0.8119,0.9453,0.2498,0.9375,0.6256,0.7708
2,Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-none,SGD,"[50, 256, 128, 64, 4]",Tanh,none,0.5946,0.8042,0.8042,0.9439,0.4201,0.8594,0.5753,0.8073
2,Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-dropout,SGD,"[50, 256, 128, 64, 4]",Tanh,dropout,0.5961,0.8042,0.8033,0.9433,0.4429,0.8516,0.5579,0.8125
2,Optimizer-SGD_Arch-3hidden_Act-Tanh_Reg-l2,SGD,"[50, 256, 128, 64, 4]",Tanh,l2,0.5907,0.8125,0.813,0.9434,0.4297,0.8542,0.5697,0.7969
2,Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-none,Adam,"[50, 64, 4]",ReLU,none,0.7077,0.7625,0.7621,0.9402,0.1085,0.9909,0.702,0.7552
2,Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-dropout,Adam,"[50, 64, 4]",ReLU,dropout,0.6557,0.7833,0.7826,0.9416,0.1523,0.9688,0.6574,0.7656
2,Optimizer-Adam_Arch-1hidden_Act-ReLU_Reg-l2,Adam,"[50, 64, 4]",ReLU,l2,0.6408,0.7875,0.787,0.945,0.0997,0.9948,0.6294,0.7604
2,Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-none,Adam,"[50, 64, 4]",Tanh,none,0.6668,0.7792,0.7785,0.9374,0.3062,0.8958,0.6146,0.7865
2,Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-dropout,Adam,"[50, 64, 4]",Tanh,dropout,0.6522,0.7792,0.7772,0.9414,0.3398,0.8815,0.6142,0.7969
2,Optimizer-Adam_Arch-1hidden_Act-Tanh_Reg-l2,Adam,"[50, 64, 4]",Tanh,l2,0.6564,0.7625,0.7615,0.939,0.3043,0.8945,0.6205,0.7812
2,Optimizer-Adam_Arch-2hidden_Act-ReLU_Reg-none,Adam,"[50, 128, 64, 4]",ReLU,none,0.9396,0.7708,0.7698,0.9433,0.0089,1.0,0.9694,0.7448
2,Optimizer-Adam_Arch-2hidden_Act-ReLU_Reg-dropout,Adam,"[50, 128, 64, 4]",ReLU,dropout,0.9494,0.7958,0.7948,0.9397,0.0339,0.9948,0.9706,0.7656
2,Optimizer-Adam_Arch-2hidden_Act-ReLU_Reg-l2,Adam,"[50, 128, 64, 4]",ReLU,l2,0.9169,0.7958,0.7943,0.941,0.0135,1.0,0.8733,0.7552
2,Optimizer-Adam_Arch-2hidden_Act-Tanh_Reg-none,Adam,"[50, 128, 64, 4]",Tanh,none,0.6737,0.7792,0.7779,0.9425,0.1787,0.9492,0.6733,0.7812
2,Optimizer-Adam_Arch-2hidden_Act-Tanh_Reg-dropout,Adam,"[50, 128, 64, 4]",Tanh,dropout,0.6681,0.7875,0.7883,0.9408,0.2562,0.9062,0.6425,0.8073
2,Optimizer-Adam_Arch-2hidden_Act-Tanh_Reg-l2,Adam,"[50, 128, 64, 4]",Tanh,l2,0.675,0.7875,0.787,0.94,0.2264,0.9297,0.6635,0.7865
2,Optimizer-Adam_Arch-3hidden_Act-ReLU_Reg-none,Adam,"[50, 256, 128, 64, 4]",ReLU,none,1.3326,0.775,0.7752,0.9354,0.0013,1.0,1.1577,0.7917
2,Optimizer-Adam_Arch-3hidden_Act-ReLU_Reg-dropout,Adam,"[50, 256, 128, 64, 4]",ReLU,dropout,1.3325,0.7667,0.7644,0.9415,0.009,1.0,1.3663,0.75
2,Optimizer-Adam_Arch-3hidden_Act-ReLU_Reg-l2,Adam,"[50, 256, 128, 64, 4]",ReLU,l2,1.1137,0.7708,0.771,0.9407,0.0033,1.0,1.0654,0.75
2,Optimizer-Adam_Arch-3hidden_Act-Tanh_Reg-none,Adam,"[50, 256, 128, 64, 4]",Tanh,none,0.8093,0.8,0.7994,0.931,0.0691,0.987,0.7895,0.7865
2,Optimizer-Adam_Arch-3hidden_Act-Tanh_Reg-dropout,Adam,"[50, 256, 128, 64, 4]",Tanh,dropout,0.8458,0.7833,0.7831,0.928,0.1147,0.9622,0.8092,0.776
2,Optimizer-Adam_Arch-3hidden_Act-Tanh_Reg-l2,Adam,"[50, 256, 128, 64, 4]",Tanh,l2,0.7506,0.7875,0.7859,0.9368,0.0934,0.9805,0.73,0.7917
